accuracy;avg_iter;max_iter;name;tol
1;511;10000;CR1__20;0.001
0.932792584;4062;10000;CR1__20;0.000001
0.206022187;9269;10000;CR1__20;0.000000001
1;233;10000;CR1__50;0.001
0.994757536;2480;10000;CR1__50;0.000001
0.431746032;8368;10000;CR1__50;0.000000001
1;510;10000;CR20__20;0.001
1;3479;10000;CR20__20;0.000001
0.986046512;6404;10000;CR20__20;0.000000001
1;242;10000;CR20__50;0.001
1;2265;10000;CR20__50;0.000001
1;6003;10000;CR20__50;0.000000001
1;208;10000;MATLAB's Nelder-Mead;0.001
1;208;10000;MATLAB's Nelder-Mead;0.000001
1;208;10000;MATLAB's Nelder-Mead;0.000000001
1;529;250000;CR1__20;0.001
1;4097;250000;CR1__20;0.000001
1;25355;250000;CR1__20;0.000000001
1;247;250000;CR1__50;0.001
1;2460;250000;CR1__50;0.000001
1;15296;250000;CR1__50;0.000000001
1;505;250000;CR20__20;0.001
1;4434;250000;CR20__20;0.000001
1;24633;250000;CR20__20;0.000000001
1;231;250000;CR20__50;0.001
1;2398;250000;CR20__50;0.000001
1;14082;250000;CR20__50;0.000000001
1;208;250000;MATLAB's Nelder-Mead;0.001
1;208;250000;MATLAB's Nelder-Mead;0.000001
1;208;250000;MATLAB's Nelder-Mead;0.000000001
