accuracy;avg_iter;max_iter;name;tol
1;798;10000;CR1__20;0.001
1;836;10000;CR1__20;0.000001
1;844;10000;CR1__20;0.000000001
1;292;10000;CR1__50;0.001
1;294;10000;CR1__50;0.000001
1;304;10000;CR1__50;0.000000001
1;892;10000;CR20__20;0.001
1;853;10000;CR20__20;0.000001
1;748;10000;CR20__20;0.000000001
1;342;10000;CR20__50;0.001
1;318;10000;CR20__50;0.000001
1;312;10000;CR20__50;0.000000001
1.06E-01;8957;10000;MATLAB's Nelder-Mead;0.001
1.22E-01;8800;10000;MATLAB's Nelder-Mead;0.000001
1.00E-03;9990;10000;MATLAB's Nelder-Mead;0.000000001
1;761;250000;CR1__20;0.001
1;830;250000;CR1__20;0.000001
1;817;250000;CR1__20;0.000000001
1;286;250000;CR1__50;0.001
1;281;250000;CR1__50;0.000001
1;304;250000;CR1__50;0.000000001
1;937;250000;CR20__20;0.001
1;848;250000;CR20__20;0.000001
1;805;250000;CR20__20;0.000000001
1;352;250000;CR20__50;0.001
1;338;250000;CR20__50;0.000001
1;317;250000;CR20__50;0.000000001
1.19E-01;220269;250000;MATLAB's Nelder-Mead;0.001
9.90E-02;225266;250000;MATLAB's Nelder-Mead;0.000001
4.00E-03;249001;250000;MATLAB's Nelder-Mead;0.000000001
