egg_contour,accuracy,precision,iteration_nr
1_20_10000_0.001,0.1740139211136891,182.85699014597947,8925
1_20_10000_0.000001,0,192.40457956633708,10000
1_20_10000_0.000000001,0,183.07259722826637,10000
1_20_250000_0.001,0.3300970873786408,100.45402131388344,173471
1_20_250000_0.000001,0,106.6519980746246,250000
1_20_250000_0.000000001,0,107.24735570367015,250000
1_50_10000_0.001,0.19806763285024154,130.78332557741447,8361
1_50_10000_0.000001,0,136.19544853893711,10000
1_50_10000_0.000000001,0,147.5016433020585,10000
1_50_250000_0.001,0.2079207920792079,118.82726260882671,199558
1_50_250000_0.000001,0,103.32180777012759,250000
1_50_250000_0.000000001,0,100.25675596059229,250000
20_20_10000_0.001,0.966183574879227,1.598301843742473,3496
20_20_10000_0.000001,0,2.9800567876409056,10000
20_20_10000_0.000000001,0,1.2575602783264466,10000
20_20_250000_0.001,1,0.000402796299586989,16516
20_20_250000_0.000001,0,0.6442131439113976,250000
20_20_250000_0.000000001,0,0.0000372792758366138,250000
20_50_10000_0.001,1,0.0004139375318740773,2290
20_50_10000_0.000001,0,0.00003731612853861963,10000
20_50_10000_0.000000001,0,0.00003730144654467755,10000
20_50_250000_0.001,1,0.00037359727754491276,13811
20_50_250000_0.000001,0,0.6442131438353175,250000
20_50_250000_0.000000001,0,0.00003727917796687948,250000
