 himmelblau               | accuracy | precision                     | iteration_nr 
 1_20_10000_0.001         | 1        | 0.0007386185200739772         | 57 
 1_20_10000_0.000001      | 1        | 0.0000004093277632842526      | 63 
 1_20_10000_0.000000001   | 1        | 0.0000000005154905574783134   | 132 
 1_20_250000_0.001        | 1        | 0.0007374503824761886         | 57 
 1_20_250000_0.000001     | 1        | 0.00000040733634416205516     | 64 
 1_20_250000_0.000000001  | 1        | 0.0000000005196436399645951   | 133 
 1_50_10000_0.001         | 1        | 0.000566465817464671          | 35 
 1_50_10000_0.000001      | 1        | 0.00000030788225171954114     | 38 
 1_50_10000_0.000000001   | 1        | 0.0000000005107288731343761   | 69 
 1_50_250000_0.001        | 1        | 0.0005639451800503479         | 35 
 1_50_250000_0.000001     | 1        | 0.0000003062337287674718      | 38 
 1_50_250000_0.000000001  | 1        | 0.0000000005141113347949962   | 69 
 20_20_10000_0.001        | 1        | 0.00023238585142179466        | 53 
 20_20_10000_0.000001     | 1        | 0.000000025270929811672914    | 65 
 20_20_10000_0.000000001  | 1        | 0.000000000050739421244627505 | 132 
 20_20_250000_0.001       | 1        | 0.00023293548378763515        | 54 
 20_20_250000_0.000001    | 1        | 0.000000025251913267561504    | 64 
 20_20_250000_0.000000001 | 1        | 0.000000000051214116250948634 | 131 
 20_50_10000_0.001        | 1        | 0.00008054214325336794        | 36 
 20_50_10000_0.000001     | 1        | 0.000000011431836537262856    | 39 
 20_50_10000_0.000000001  | 1        | 0.00000000004960113275182233  | 68 
 20_50_250000_0.001       | 1        | 0.00008106316064050432        | 36 
 20_50_250000_0.000001    | 1        | 0.000000011604380115978765    | 39 
 20_50_250000_0.000000001 | 1        | 0.00000000005022750114145291  | 69 
