 levi                     | accuracy | precision                     | iteration_nr 
 1_20_10000_0.001         | 1        | 0.0007569473372983974         | 160 
 1_20_10000_0.000001      | 1        | 0.0000005114173320199916      | 185 
 1_20_10000_0.000000001   | 1        | 0.0000000005201025201028701   | 266 
 1_20_250000_0.001        | 1        | 0.0007574407943921413         | 160 
 1_20_250000_0.000001     | 1        | 0.00000051052756192967        | 187 
 1_20_250000_0.000000001  | 1        | 0.0000000005308751182627236   | 264 
 1_50_10000_0.001         | 1        | 0.0006661991078737179         | 101 
 1_50_10000_0.000001      | 1        | 0.00000043132583741065954     | 111 
 1_50_10000_0.000000001   | 1        | 0.000000000517510444749445    | 147 
 1_50_250000_0.001        | 1        | 0.0006703850508599677         | 101 
 1_50_250000_0.000001     | 1        | 0.0000004238216310989005      | 112 
 1_50_250000_0.000000001  | 1        | 0.0000000005170503365952188   | 148 
 20_20_10000_0.001        | 1        | 0.0001217625995228873         | 152 
 20_20_10000_0.000001     | 1        | 0.00000004553668854114488     | 187 
 20_20_10000_0.000000001  | 1        | 0.00000000005184571732469737  | 265 
 20_20_250000_0.001       | 1        | 0.00012182258821064389        | 151 
 20_20_250000_0.000001    | 1        | 0.000000046629239877939274    | 188 
 20_20_250000_0.000000001 | 1        | 0.000000000052324502613380514 | 265 
 20_50_10000_0.001        | 1        | 0.00004928740007220364        | 98 
 20_50_10000_0.000001     | 1        | 0.000000026920243583950427    | 115 
 20_50_10000_0.000000001  | 1        | 0.00000000004951901554499092  | 149 
 20_50_250000_0.001       | 1        | 0.000048102440559244726       | 97 
 20_50_250000_0.000001    | 1        | 0.000000026022025349608344    | 113 
 20_50_250000_0.000000001 | 1        | 0.00000000004928751474681328  | 148 
