 rastrigin                | accuracy | precision                    | iteration_nr 
 1_20_10000_0.001         | 1        | 0.00042002302637330426       | 798 
 1_20_10000_0.000001      | 1        | 0.0000004735138890425914     | 836 
 1_20_10000_0.000000001   | 1        | 0.0000000005904229443592763  | 844 
 1_20_250000_0.001        | 1        | 0.00042465851704500275       | 761 
 1_20_250000_0.000001     | 1        | 0.000000481941649674695      | 830 
 1_20_250000_0.000000001  | 1        | 0.0000000005868634668239653  | 817 
 1_50_10000_0.001         | 1        | 0.00024307595069986571       | 292 
 1_50_10000_0.000001      | 1        | 0.0000003947276267729977     | 294 
 1_50_10000_0.000000001   | 1        | 0.0000000005887654243934575  | 304 
 1_50_250000_0.001        | 1        | 0.00025618701793678493       | 286 
 1_50_250000_0.000001     | 1        | 0.00000040065184572789247    | 281 
 1_50_250000_0.000000001  | 1        | 0.0000000005896039043435745  | 304 
 20_20_10000_0.001        | 1        | 0.000018405656776079286      | 892 
 20_20_10000_0.000001     | 1        | 0.0000000404610867133373     | 853 
 20_20_10000_0.000000001  | 1        | 0.00000000017138731267154866 | 748 
 20_20_250000_0.001       | 1        | 0.000016618042903489483      | 937 
 20_20_250000_0.000001    | 1        | 0.00000004306782482937055    | 848 
 20_20_250000_0.000000001 | 1        | 0.00000000016786148879811525 | 805 
 20_50_10000_0.001        | 1        | 0.0000009808492379463075     | 342 
 20_50_10000_0.000001     | 1        | 0.000000022174426251499478   | 318 
 20_50_10000_0.000000001  | 1        | 0.00000000015756765172913533 | 312 
 20_50_250000_0.001       | 1        | 0.0000009863886304161583     | 352 
 20_50_250000_0.000001    | 1        | 0.000000023818854162363308   | 338 
 20_50_250000_0.000000001 | 1        | 0.00000000014817584177271808 | 317 
