 rosenbrock               | accuracy              | precision                    | iteration_nr 
 1_20_10000_0.001         | 0.12044374009508717   | 236913.09037079598           | 9409 
 1_20_10000_0.000001      | 0.03954802259887006   | 246231.23672742848           | 9925 
 1_20_10000_0.000000001   | 0.0018832391713747645 | 259517.06023211437           | 9992 
 1_20_250000_0.001        | 0.33663366336633666   | 214818.7755797387            | 194166 
 1_20_250000_0.000001     | 0.37623762376237624   | 183239.89636425007           | 182681 
 1_20_250000_0.000000001  | 0.2871287128712871    | 251295.80179047224           | 205839 
 1_50_10000_0.001         | 0.11627906976744186   | 239275.56686860364           | 9111 
 1_50_10000_0.000001      | 0.10697674418604651   | 244105.55166523936           | 9674 
 1_50_10000_0.000000001   | 0.023255813953488372  | 255152.19040175146           | 9935 
 1_50_250000_0.001        | 0.48514851485148514   | 212118.6417048546            | 161961 
 1_50_250000_0.000001     | 0.4158415841584158    | 257214.96181328926           | 172686 
 1_50_250000_0.000000001  | 0.39603960396039606   | 259781.957943932             | 188294 
 20_20_10000_0.001        | 0.9069767441860465    | 101.30157967607475           | 5670 
 20_20_10000_0.000001     | 0.5767441860465117    | 193.20925445537623           | 8559 
 20_20_10000_0.000000001  | 0.046511627906976744  | 194.54073572305825           | 9936 
 20_20_250000_0.001       | 1                     | 0.00022052017647672251       | 85333 
 20_20_250000_0.000001    | 1                     | 0.00000017920752793084623    | 81899 
 20_20_250000_0.000000001 | 1                     | 0.00000000017341714791394562 | 92244 
 20_50_10000_0.001        | 0.9439252336448598    | 265.3244989185381            | 3446 
 20_50_10000_0.000001     | 0.9029126213592233    | 186.3142925187136            | 6776 
 20_50_10000_0.000000001  | 0.32038834951456313   | 152.3762937912934            | 9280 
 20_50_250000_0.001       | 1                     | 0.00012750180089010328       | 81126 
 20_50_250000_0.000001    | 1                     | 0.0000001241825225744823     | 66993 
 20_50_250000_0.000000001 | 1                     | 0.00000000011106855599207324 | 87180 
