schaffer2,accuracy,precision,iteration_nr
1_20_10000_0.001,1,0.00000036796400004138923,10000
1_20_10000_0.000001,1,0.0000003679640030460122,10000
1_20_10000_0.000000001,0,0.0000003679640033429504,10000
1_20_250000_0.001,1,0.000000367964019534184,250000
1_20_250000_0.000001,1,0.000000367964019534184,250000
1_20_250000_0.000000001,0,0.0000003679640195314359,250000
1_50_10000_0.001,1,0.0000003679640169336882,10000
1_50_10000_0.000001,1,0.00000036796401725656467,10000
1_50_10000_0.000000001,0,0.00000036796401662153857,10000
1_50_250000_0.001,1,0.00000036796401956551206,250000
1_50_250000_0.000001,1,0.0000003679640195567182,250000
1_50_250000_0.000000001,0,0.0000003679640195589167,250000
20_20_10000_0.001,1,0.0000003679640193799333,10000
20_20_10000_0.000001,1,0.00000036796401938556483,10000
20_20_10000_0.000000001,0,0.0000003679640193901237,10000
20_20_250000_0.001,1,0.00000036796401961442784,250000
20_20_250000_0.000001,1,0.00000036796401961497746,250000
20_20_250000_0.000000001,0,0.00000036796401961058056,250000
20_50_10000_0.001,1,0.00000036796401945976714,10000
20_50_10000_0.000001,1,0.000000367964019470546,10000
20_50_10000_0.000000001,0,0.0000003679640194770133,10000
20_50_250000_0.001,1,0.000000367964019627069,250000
20_50_250000_0.000001,1,0.0000003679640196237713,250000
20_50_250000_0.000000001,0,0.00000036796401962761863,250000
