group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ackley,1_20_10000_0.000001,,,,90704402.0,ns,10
ackley,1_20_10000_0.000001,,,,55801180.0,ns,10
ackley,1_20_10000_0.000001,,,,34935762.0,ns,10
ackley,1_20_10000_0.000001,,,,54719687.0,ns,10
ackley,1_20_10000_0.000001,,,,22546824.0,ns,10
ackley,1_20_10000_0.000001,,,,27492253.0,ns,10
ackley,1_20_10000_0.000001,,,,33689167.0,ns,10
ackley,1_20_10000_0.000001,,,,26557416.0,ns,10
ackley,1_20_10000_0.000001,,,,22532544.0,ns,10
ackley,1_20_10000_0.000001,,,,31825098.0,ns,10
ackley,1_20_10000_0.000001,,,,23143850.0,ns,10
ackley,1_20_10000_0.000001,,,,20560367.0,ns,10
ackley,1_20_10000_0.000001,,,,32288933.0,ns,10
ackley,1_20_10000_0.000001,,,,34454600.0,ns,10
ackley,1_20_10000_0.000001,,,,41797208.0,ns,10
ackley,1_20_10000_0.000001,,,,22611362.0,ns,10
ackley,1_20_10000_0.000001,,,,40105512.0,ns,10
ackley,1_20_10000_0.000001,,,,122952244.0,ns,10
ackley,1_20_10000_0.000001,,,,93515086.0,ns,10
ackley,1_20_10000_0.000001,,,,26364445.0,ns,10
ackley,1_20_10000_0.000001,,,,41868581.0,ns,10
ackley,1_20_10000_0.000001,,,,65343752.0,ns,10
ackley,1_20_10000_0.000001,,,,83801265.0,ns,10
ackley,1_20_10000_0.000001,,,,88146230.0,ns,10
ackley,1_20_10000_0.000001,,,,22106271.0,ns,10
ackley,1_20_10000_0.000001,,,,22432547.0,ns,10
ackley,1_20_10000_0.000001,,,,25066633.0,ns,10
ackley,1_20_10000_0.000001,,,,32311113.0,ns,10
ackley,1_20_10000_0.000001,,,,46251000.0,ns,10
ackley,1_20_10000_0.000001,,,,109602201.0,ns,10
ackley,1_20_10000_0.000001,,,,17560778.0,ns,10
ackley,1_20_10000_0.000001,,,,27698868.0,ns,10
ackley,1_20_10000_0.000001,,,,43619371.0,ns,10
ackley,1_20_10000_0.000001,,,,43465159.0,ns,10
ackley,1_20_10000_0.000001,,,,30776979.0,ns,10
ackley,1_20_10000_0.000001,,,,26423047.0,ns,10
ackley,1_20_10000_0.000001,,,,80017590.0,ns,10
ackley,1_20_10000_0.000001,,,,64643386.0,ns,10
ackley,1_20_10000_0.000001,,,,31295854.0,ns,10
ackley,1_20_10000_0.000001,,,,37687591.0,ns,10
ackley,1_20_10000_0.000001,,,,65514024.0,ns,10
ackley,1_20_10000_0.000001,,,,59867816.0,ns,10
ackley,1_20_10000_0.000001,,,,61577857.0,ns,10
ackley,1_20_10000_0.000001,,,,33264396.0,ns,10
ackley,1_20_10000_0.000001,,,,29343859.0,ns,10
ackley,1_20_10000_0.000001,,,,27352934.0,ns,10
ackley,1_20_10000_0.000001,,,,93600518.0,ns,10
ackley,1_20_10000_0.000001,,,,105000178.0,ns,10
ackley,1_20_10000_0.000001,,,,93748517.0,ns,10
ackley,1_20_10000_0.000001,,,,25994167.0,ns,10
ackley,1_20_10000_0.000001,,,,45677701.0,ns,10
ackley,1_20_10000_0.000001,,,,130900722.0,ns,10
ackley,1_20_10000_0.000001,,,,90123646.0,ns,10
ackley,1_20_10000_0.000001,,,,60072357.0,ns,10
ackley,1_20_10000_0.000001,,,,27259411.0,ns,10
ackley,1_20_10000_0.000001,,,,29737318.0,ns,10
ackley,1_20_10000_0.000001,,,,40077982.0,ns,10
ackley,1_20_10000_0.000001,,,,86383321.0,ns,10
ackley,1_20_10000_0.000001,,,,105782879.0,ns,10
ackley,1_20_10000_0.000001,,,,85749784.0,ns,10
ackley,1_20_10000_0.000001,,,,23526000.0,ns,10
ackley,1_20_10000_0.000001,,,,28988826.0,ns,10
ackley,1_20_10000_0.000001,,,,60558178.0,ns,10
ackley,1_20_10000_0.000001,,,,120221292.0,ns,10
ackley,1_20_10000_0.000001,,,,109297530.0,ns,10
ackley,1_20_10000_0.000001,,,,50077851.0,ns,10
ackley,1_20_10000_0.000001,,,,23589985.0,ns,10
ackley,1_20_10000_0.000001,,,,42426390.0,ns,10
ackley,1_20_10000_0.000001,,,,102187695.0,ns,10
ackley,1_20_10000_0.000001,,,,128959732.0,ns,10
ackley,1_20_10000_0.000001,,,,76137245.0,ns,10
ackley,1_20_10000_0.000001,,,,35280556.0,ns,10
ackley,1_20_10000_0.000001,,,,92086596.0,ns,10
ackley,1_20_10000_0.000001,,,,71194265.0,ns,10
ackley,1_20_10000_0.000001,,,,91015610.0,ns,10
ackley,1_20_10000_0.000001,,,,75548054.0,ns,10
ackley,1_20_10000_0.000001,,,,132546295.0,ns,10
ackley,1_20_10000_0.000001,,,,52208681.0,ns,10
ackley,1_20_10000_0.000001,,,,31754211.0,ns,10
ackley,1_20_10000_0.000001,,,,49192064.0,ns,10
ackley,1_20_10000_0.000001,,,,166109804.0,ns,10
ackley,1_20_10000_0.000001,,,,46814952.0,ns,10
ackley,1_20_10000_0.000001,,,,76889319.0,ns,10
ackley,1_20_10000_0.000001,,,,91999864.0,ns,10
ackley,1_20_10000_0.000001,,,,122927523.0,ns,10
ackley,1_20_10000_0.000001,,,,108481829.0,ns,10
ackley,1_20_10000_0.000001,,,,22455759.0,ns,10
ackley,1_20_10000_0.000001,,,,21464594.0,ns,10
ackley,1_20_10000_0.000001,,,,33279799.0,ns,10
ackley,1_20_10000_0.000001,,,,58070883.0,ns,10
ackley,1_20_10000_0.000001,,,,37350484.0,ns,10
ackley,1_20_10000_0.000001,,,,33693876.0,ns,10
ackley,1_20_10000_0.000001,,,,48832040.0,ns,10
ackley,1_20_10000_0.000001,,,,53349801.0,ns,10
ackley,1_20_10000_0.000001,,,,68031179.0,ns,10
ackley,1_20_10000_0.000001,,,,35969196.0,ns,10
ackley,1_20_10000_0.000001,,,,70931455.0,ns,10
ackley,1_20_10000_0.000001,,,,37215958.0,ns,10
ackley,1_20_10000_0.000001,,,,17679388.0,ns,10
ackley,1_20_10000_0.000001,,,,56251394.0,ns,10
