group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ackley,20_50_10000_0.000000001,,,,151589190.0,ns,1
ackley,20_50_10000_0.000000001,,,,143746643.0,ns,1
ackley,20_50_10000_0.000000001,,,,151203463.0,ns,1
ackley,20_50_10000_0.000000001,,,,162868074.0,ns,1
ackley,20_50_10000_0.000000001,,,,146737928.0,ns,1
ackley,20_50_10000_0.000000001,,,,169546874.0,ns,1
ackley,20_50_10000_0.000000001,,,,156057709.0,ns,1
ackley,20_50_10000_0.000000001,,,,161913155.0,ns,1
ackley,20_50_10000_0.000000001,,,,147822430.0,ns,1
ackley,20_50_10000_0.000000001,,,,168316313.0,ns,1
ackley,20_50_10000_0.000000001,,,,144508038.0,ns,1
ackley,20_50_10000_0.000000001,,,,145991490.0,ns,1
ackley,20_50_10000_0.000000001,,,,161044682.0,ns,1
ackley,20_50_10000_0.000000001,,,,159353224.0,ns,1
ackley,20_50_10000_0.000000001,,,,154538524.0,ns,1
ackley,20_50_10000_0.000000001,,,,159283456.0,ns,1
ackley,20_50_10000_0.000000001,,,,154634497.0,ns,1
ackley,20_50_10000_0.000000001,,,,160232433.0,ns,1
ackley,20_50_10000_0.000000001,,,,144998318.0,ns,1
ackley,20_50_10000_0.000000001,,,,156437516.0,ns,1
ackley,20_50_10000_0.000000001,,,,153071796.0,ns,1
ackley,20_50_10000_0.000000001,,,,163879592.0,ns,1
ackley,20_50_10000_0.000000001,,,,159910915.0,ns,1
ackley,20_50_10000_0.000000001,,,,156740838.0,ns,1
ackley,20_50_10000_0.000000001,,,,159660770.0,ns,1
ackley,20_50_10000_0.000000001,,,,161066282.0,ns,1
ackley,20_50_10000_0.000000001,,,,143813513.0,ns,1
ackley,20_50_10000_0.000000001,,,,163254215.0,ns,1
ackley,20_50_10000_0.000000001,,,,157918840.0,ns,1
ackley,20_50_10000_0.000000001,,,,163444910.0,ns,1
ackley,20_50_10000_0.000000001,,,,164250894.0,ns,1
ackley,20_50_10000_0.000000001,,,,162893378.0,ns,1
ackley,20_50_10000_0.000000001,,,,162523095.0,ns,1
ackley,20_50_10000_0.000000001,,,,153714816.0,ns,1
ackley,20_50_10000_0.000000001,,,,163465200.0,ns,1
ackley,20_50_10000_0.000000001,,,,143975953.0,ns,1
ackley,20_50_10000_0.000000001,,,,161298480.0,ns,1
ackley,20_50_10000_0.000000001,,,,159646506.0,ns,1
ackley,20_50_10000_0.000000001,,,,160680169.0,ns,1
ackley,20_50_10000_0.000000001,,,,147418394.0,ns,1
ackley,20_50_10000_0.000000001,,,,166946665.0,ns,1
ackley,20_50_10000_0.000000001,,,,142845425.0,ns,1
ackley,20_50_10000_0.000000001,,,,166171500.0,ns,1
ackley,20_50_10000_0.000000001,,,,160500231.0,ns,1
ackley,20_50_10000_0.000000001,,,,160746365.0,ns,1
ackley,20_50_10000_0.000000001,,,,158978632.0,ns,1
ackley,20_50_10000_0.000000001,,,,152516867.0,ns,1
ackley,20_50_10000_0.000000001,,,,164640106.0,ns,1
ackley,20_50_10000_0.000000001,,,,160177232.0,ns,1
ackley,20_50_10000_0.000000001,,,,162225381.0,ns,1
ackley,20_50_10000_0.000000001,,,,158609696.0,ns,1
ackley,20_50_10000_0.000000001,,,,161313710.0,ns,1
ackley,20_50_10000_0.000000001,,,,163959036.0,ns,1
ackley,20_50_10000_0.000000001,,,,158780723.0,ns,1
ackley,20_50_10000_0.000000001,,,,156160873.0,ns,1
ackley,20_50_10000_0.000000001,,,,163302738.0,ns,1
ackley,20_50_10000_0.000000001,,,,161697881.0,ns,1
ackley,20_50_10000_0.000000001,,,,160864669.0,ns,1
ackley,20_50_10000_0.000000001,,,,159347986.0,ns,1
ackley,20_50_10000_0.000000001,,,,159474044.0,ns,1
ackley,20_50_10000_0.000000001,,,,160577694.0,ns,1
ackley,20_50_10000_0.000000001,,,,160649235.0,ns,1
ackley,20_50_10000_0.000000001,,,,161289000.0,ns,1
ackley,20_50_10000_0.000000001,,,,161242582.0,ns,1
ackley,20_50_10000_0.000000001,,,,159365903.0,ns,1
ackley,20_50_10000_0.000000001,,,,160303924.0,ns,1
ackley,20_50_10000_0.000000001,,,,159259219.0,ns,1
ackley,20_50_10000_0.000000001,,,,156417758.0,ns,1
ackley,20_50_10000_0.000000001,,,,158408867.0,ns,1
ackley,20_50_10000_0.000000001,,,,165710948.0,ns,1
ackley,20_50_10000_0.000000001,,,,141601293.0,ns,1
ackley,20_50_10000_0.000000001,,,,167166880.0,ns,1
ackley,20_50_10000_0.000000001,,,,151884728.0,ns,1
ackley,20_50_10000_0.000000001,,,,155122722.0,ns,1
ackley,20_50_10000_0.000000001,,,,147733231.0,ns,1
ackley,20_50_10000_0.000000001,,,,166537695.0,ns,1
ackley,20_50_10000_0.000000001,,,,158829720.0,ns,1
ackley,20_50_10000_0.000000001,,,,148995050.0,ns,1
ackley,20_50_10000_0.000000001,,,,161677252.0,ns,1
ackley,20_50_10000_0.000000001,,,,161460239.0,ns,1
ackley,20_50_10000_0.000000001,,,,159988124.0,ns,1
ackley,20_50_10000_0.000000001,,,,148730488.0,ns,1
ackley,20_50_10000_0.000000001,,,,162169078.0,ns,1
ackley,20_50_10000_0.000000001,,,,160323442.0,ns,1
ackley,20_50_10000_0.000000001,,,,161458684.0,ns,1
ackley,20_50_10000_0.000000001,,,,158689690.0,ns,1
ackley,20_50_10000_0.000000001,,,,161176142.0,ns,1
ackley,20_50_10000_0.000000001,,,,161065178.0,ns,1
ackley,20_50_10000_0.000000001,,,,164820651.0,ns,1
ackley,20_50_10000_0.000000001,,,,148760197.0,ns,1
ackley,20_50_10000_0.000000001,,,,162497540.0,ns,1
ackley,20_50_10000_0.000000001,,,,145919797.0,ns,1
ackley,20_50_10000_0.000000001,,,,165373341.0,ns,1
