group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
egg_contour,1_50_250000_0.001,,,,1055932713.0,ns,1
egg_contour,1_50_250000_0.001,,,,1045981846.0,ns,1
egg_contour,1_50_250000_0.001,,,,1038642921.0,ns,1
egg_contour,1_50_250000_0.001,,,,1039655026.0,ns,1
egg_contour,1_50_250000_0.001,,,,1051913972.0,ns,1
egg_contour,1_50_250000_0.001,,,,98962118.0,ns,1
egg_contour,1_50_250000_0.001,,,,1044898591.0,ns,1
egg_contour,1_50_250000_0.001,,,,182789818.0,ns,1
egg_contour,1_50_250000_0.001,,,,1047573027.0,ns,1
egg_contour,1_50_250000_0.001,,,,1050666184.0,ns,1
egg_contour,1_50_250000_0.001,,,,13693654.0,ns,1
egg_contour,1_50_250000_0.001,,,,44395473.0,ns,1
egg_contour,1_50_250000_0.001,,,,1049580764.0,ns,1
egg_contour,1_50_250000_0.001,,,,1043134241.0,ns,1
egg_contour,1_50_250000_0.001,,,,13752748.0,ns,1
egg_contour,1_50_250000_0.001,,,,7441621.0,ns,1
egg_contour,1_50_250000_0.001,,,,1044186787.0,ns,1
egg_contour,1_50_250000_0.001,,,,1045249052.0,ns,1
egg_contour,1_50_250000_0.001,,,,7205178.0,ns,1
egg_contour,1_50_250000_0.001,,,,1051249963.0,ns,1
egg_contour,1_50_250000_0.001,,,,1049337382.0,ns,1
egg_contour,1_50_250000_0.001,,,,1042150056.0,ns,1
egg_contour,1_50_250000_0.001,,,,1049585032.0,ns,1
egg_contour,1_50_250000_0.001,,,,1042697242.0,ns,1
egg_contour,1_50_250000_0.001,,,,1042469242.0,ns,1
egg_contour,1_50_250000_0.001,,,,1044882058.0,ns,1
egg_contour,1_50_250000_0.001,,,,3882235.0,ns,1
egg_contour,1_50_250000_0.001,,,,1035345201.0,ns,1
egg_contour,1_50_250000_0.001,,,,1048974570.0,ns,1
egg_contour,1_50_250000_0.001,,,,1037626024.0,ns,1
egg_contour,1_50_250000_0.001,,,,10048823.0,ns,1
egg_contour,1_50_250000_0.001,,,,1040285144.0,ns,1
egg_contour,1_50_250000_0.001,,,,1048027000.0,ns,1
egg_contour,1_50_250000_0.001,,,,1043958835.0,ns,1
egg_contour,1_50_250000_0.001,,,,1041231636.0,ns,1
egg_contour,1_50_250000_0.001,,,,1053756081.0,ns,1
egg_contour,1_50_250000_0.001,,,,1040639742.0,ns,1
egg_contour,1_50_250000_0.001,,,,1036921905.0,ns,1
egg_contour,1_50_250000_0.001,,,,1039224456.0,ns,1
egg_contour,1_50_250000_0.001,,,,1038205786.0,ns,1
egg_contour,1_50_250000_0.001,,,,1037909090.0,ns,1
egg_contour,1_50_250000_0.001,,,,1038416169.0,ns,1
egg_contour,1_50_250000_0.001,,,,1042272481.0,ns,1
egg_contour,1_50_250000_0.001,,,,1044176430.0,ns,1
egg_contour,1_50_250000_0.001,,,,1041233906.0,ns,1
egg_contour,1_50_250000_0.001,,,,1047016052.0,ns,1
egg_contour,1_50_250000_0.001,,,,7093096.0,ns,1
egg_contour,1_50_250000_0.001,,,,1042161456.0,ns,1
egg_contour,1_50_250000_0.001,,,,1039701759.0,ns,1
egg_contour,1_50_250000_0.001,,,,12734628.0,ns,1
egg_contour,1_50_250000_0.001,,,,1053840631.0,ns,1
egg_contour,1_50_250000_0.001,,,,1041505138.0,ns,1
egg_contour,1_50_250000_0.001,,,,1046397711.0,ns,1
egg_contour,1_50_250000_0.001,,,,1043608919.0,ns,1
egg_contour,1_50_250000_0.001,,,,1054804213.0,ns,1
egg_contour,1_50_250000_0.001,,,,6837561.0,ns,1
egg_contour,1_50_250000_0.001,,,,1039465927.0,ns,1
egg_contour,1_50_250000_0.001,,,,1046640891.0,ns,1
egg_contour,1_50_250000_0.001,,,,1045702935.0,ns,1
egg_contour,1_50_250000_0.001,,,,1046347059.0,ns,1
egg_contour,1_50_250000_0.001,,,,1044837690.0,ns,1
egg_contour,1_50_250000_0.001,,,,1042678428.0,ns,1
egg_contour,1_50_250000_0.001,,,,1053849254.0,ns,1
egg_contour,1_50_250000_0.001,,,,1036531032.0,ns,1
egg_contour,1_50_250000_0.001,,,,2238313.0,ns,1
egg_contour,1_50_250000_0.001,,,,1051171651.0,ns,1
egg_contour,1_50_250000_0.001,,,,1046599632.0,ns,1
egg_contour,1_50_250000_0.001,,,,18606722.0,ns,1
egg_contour,1_50_250000_0.001,,,,1040197604.0,ns,1
egg_contour,1_50_250000_0.001,,,,1048662285.0,ns,1
egg_contour,1_50_250000_0.001,,,,1034538943.0,ns,1
egg_contour,1_50_250000_0.001,,,,1052880035.0,ns,1
egg_contour,1_50_250000_0.001,,,,1044291559.0,ns,1
egg_contour,1_50_250000_0.001,,,,25974192.0,ns,1
egg_contour,1_50_250000_0.001,,,,891864.0,ns,1
egg_contour,1_50_250000_0.001,,,,1037114029.0,ns,1
egg_contour,1_50_250000_0.001,,,,1049703569.0,ns,1
egg_contour,1_50_250000_0.001,,,,1042686552.0,ns,1
egg_contour,1_50_250000_0.001,,,,28051709.0,ns,1
egg_contour,1_50_250000_0.001,,,,1041436532.0,ns,1
egg_contour,1_50_250000_0.001,,,,139831681.0,ns,1
egg_contour,1_50_250000_0.001,,,,1049112564.0,ns,1
egg_contour,1_50_250000_0.001,,,,1038015346.0,ns,1
egg_contour,1_50_250000_0.001,,,,1048213465.0,ns,1
egg_contour,1_50_250000_0.001,,,,3569255.0,ns,1
egg_contour,1_50_250000_0.001,,,,1037368513.0,ns,1
egg_contour,1_50_250000_0.001,,,,1041509363.0,ns,1
