group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
egg_contour,20_20_10000_0.000000001,,,,85944501.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86456770.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,98137395.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,94620639.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,88399600.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,87795771.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,95077835.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,91069775.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,99261940.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,90505596.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85801238.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,88303254.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85917694.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,89302377.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85205111.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,89916429.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86996131.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,91164342.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,91274661.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,89178620.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,93055149.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,94265361.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86052240.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,88000954.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,89773726.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,91121827.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,91539767.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,88871542.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,84060483.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85370794.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,90565054.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,88829706.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,93252253.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,87837022.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,94141548.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,95200608.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86769369.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86153352.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86245138.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85195094.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85668100.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86833717.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,93553860.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86210480.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86690450.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,91047378.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86024557.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,92897867.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,90787758.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86428991.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85447950.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85648363.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85535464.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86227256.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,93679643.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,89958763.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,91925544.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85470342.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85398836.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,99645193.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,90608791.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85755044.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,88570897.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,90691071.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,89164409.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,87657491.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86333013.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85733129.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,84961622.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,93364380.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,90524457.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,98591749.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,84870241.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85521357.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,93957830.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85317470.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86129344.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86070063.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85113069.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,98844108.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,94848359.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,87599663.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86473236.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,88815155.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86178680.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,93991218.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85729281.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,91799999.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,90393903.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,95929738.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,86243576.0,ns,2
egg_contour,20_20_10000_0.000000001,,,,85917465.0,ns,2
