group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
goldstein_price,1_20_10000_0.000000001,,,,60282521.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52949797.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52592357.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,55699336.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53129614.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52858821.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53001647.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,59839244.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,56617764.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,66148861.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,66265636.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,56335178.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,59575627.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,60168369.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,67405498.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,63479469.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,57762931.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,61333794.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,78146813.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,76088426.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,77166791.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,84493044.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,69699779.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,63858569.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,62541332.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52713465.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52797318.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52562952.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53035075.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53161485.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52649384.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52507964.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52679682.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,56314177.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,55719198.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,65332475.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,61236918.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,64652662.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,55517129.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,57290573.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,58491716.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,64698596.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,67427150.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,57417045.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52088453.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,56214293.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,67491072.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,84265126.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,87611866.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,86581590.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,73572420.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52826277.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52728382.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52903732.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,59415444.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,60375051.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,59548141.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,51098201.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53721244.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53696115.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53537281.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53888519.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,57187963.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53189759.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,54176082.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,55928736.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,73764736.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,51196235.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52106673.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,51822844.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,57160888.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,58997437.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53562842.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,59421765.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,72533782.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,72731901.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,69078079.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,53559543.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,61018719.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,61474970.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,57997764.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,62835805.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,61955578.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,56685488.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,57173707.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,61594252.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,67593724.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,86032692.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,93720012.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,70361440.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,78369747.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,67101908.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,58662465.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,65354188.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,71523483.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,52377965.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,57074073.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,63663927.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,76364903.0,ns,5
goldstein_price,1_20_10000_0.000000001,,,,86950086.0,ns,5
