group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
goldstein_price,1_20_250000_0.000001,,,,245660457.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,252248170.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246589678.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,250736899.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,256250537.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,250149977.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,254623569.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245241497.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,248680259.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246922956.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246813370.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,244633583.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,244023137.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246465583.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247126831.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246937515.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245562279.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,256760315.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,250225411.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,251221038.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246835248.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246303004.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,251345409.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246715173.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246700603.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246365846.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,256196863.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247236251.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,244641730.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,249877559.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247990414.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,249364108.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245737677.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246291051.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247183101.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245658277.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,250169564.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,249931944.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246815127.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247360622.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247238876.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245128863.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247394725.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,250429812.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,248366725.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,244844465.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,249920932.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246946761.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245454850.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,248303448.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,248079759.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246282822.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,248061085.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,252078332.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245631592.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,250937008.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,251275330.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,255930362.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,250792273.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245249369.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246023676.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245984215.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,248644401.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,244495702.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246770747.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247581066.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,249199984.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,248145550.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245966839.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245638877.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,249376509.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,253203930.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245641965.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246707338.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247070402.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246188687.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246775606.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,251251976.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,251757226.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245134449.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,244127448.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245998877.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,249107901.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246237841.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,249110546.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245956905.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247111481.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,253042814.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247270849.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245670250.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,244944146.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246114382.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,246201390.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245974160.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245660432.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247582100.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245123908.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,247977332.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,249242474.0,ns,1
goldstein_price,1_20_250000_0.000001,,,,245598848.0,ns,1
