group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
himmelblau,1_20_250000_0.000001,,,,1570573.0,ns,2
himmelblau,1_20_250000_0.000001,,,,3873059.0,ns,4
himmelblau,1_20_250000_0.000001,,,,4467066.0,ns,6
himmelblau,1_20_250000_0.000001,,,,6751397.0,ns,8
himmelblau,1_20_250000_0.000001,,,,8624853.0,ns,10
himmelblau,1_20_250000_0.000001,,,,7114619.0,ns,12
himmelblau,1_20_250000_0.000001,,,,6138294.0,ns,14
himmelblau,1_20_250000_0.000001,,,,5084456.0,ns,16
himmelblau,1_20_250000_0.000001,,,,5217877.0,ns,18
himmelblau,1_20_250000_0.000001,,,,4550084.0,ns,20
himmelblau,1_20_250000_0.000001,,,,4380952.0,ns,22
himmelblau,1_20_250000_0.000001,,,,3458541.0,ns,24
himmelblau,1_20_250000_0.000001,,,,3289004.0,ns,26
himmelblau,1_20_250000_0.000001,,,,3766884.0,ns,28
himmelblau,1_20_250000_0.000001,,,,3915227.0,ns,30
himmelblau,1_20_250000_0.000001,,,,4396878.0,ns,32
himmelblau,1_20_250000_0.000001,,,,4510511.0,ns,34
himmelblau,1_20_250000_0.000001,,,,4655690.0,ns,36
himmelblau,1_20_250000_0.000001,,,,4829821.0,ns,38
himmelblau,1_20_250000_0.000001,,,,5874741.0,ns,40
himmelblau,1_20_250000_0.000001,,,,5246047.0,ns,42
himmelblau,1_20_250000_0.000001,,,,6687833.0,ns,44
himmelblau,1_20_250000_0.000001,,,,7031293.0,ns,46
himmelblau,1_20_250000_0.000001,,,,9182719.0,ns,48
himmelblau,1_20_250000_0.000001,,,,11743655.0,ns,50
himmelblau,1_20_250000_0.000001,,,,15867967.0,ns,52
himmelblau,1_20_250000_0.000001,,,,18783849.0,ns,54
himmelblau,1_20_250000_0.000001,,,,18905288.0,ns,56
himmelblau,1_20_250000_0.000001,,,,19681842.0,ns,58
himmelblau,1_20_250000_0.000001,,,,42643922.0,ns,60
himmelblau,1_20_250000_0.000001,,,,47893766.0,ns,62
himmelblau,1_20_250000_0.000001,,,,50420179.0,ns,64
himmelblau,1_20_250000_0.000001,,,,52266858.0,ns,66
himmelblau,1_20_250000_0.000001,,,,55440895.0,ns,68
himmelblau,1_20_250000_0.000001,,,,57680134.0,ns,70
himmelblau,1_20_250000_0.000001,,,,36786279.0,ns,72
himmelblau,1_20_250000_0.000001,,,,14436598.0,ns,74
himmelblau,1_20_250000_0.000001,,,,10555810.0,ns,76
himmelblau,1_20_250000_0.000001,,,,10237147.0,ns,78
himmelblau,1_20_250000_0.000001,,,,10489947.0,ns,80
himmelblau,1_20_250000_0.000001,,,,11083827.0,ns,82
himmelblau,1_20_250000_0.000001,,,,10718615.0,ns,84
himmelblau,1_20_250000_0.000001,,,,10374429.0,ns,86
himmelblau,1_20_250000_0.000001,,,,12015105.0,ns,88
himmelblau,1_20_250000_0.000001,,,,15747501.0,ns,90
himmelblau,1_20_250000_0.000001,,,,24456107.0,ns,92
himmelblau,1_20_250000_0.000001,,,,64837565.0,ns,94
himmelblau,1_20_250000_0.000001,,,,78124858.0,ns,96
himmelblau,1_20_250000_0.000001,,,,77785991.0,ns,98
himmelblau,1_20_250000_0.000001,,,,78583175.0,ns,100
himmelblau,1_20_250000_0.000001,,,,80624011.0,ns,102
himmelblau,1_20_250000_0.000001,,,,84074681.0,ns,104
himmelblau,1_20_250000_0.000001,,,,72786546.0,ns,106
himmelblau,1_20_250000_0.000001,,,,63272335.0,ns,108
himmelblau,1_20_250000_0.000001,,,,85238413.0,ns,110
himmelblau,1_20_250000_0.000001,,,,89721929.0,ns,112
himmelblau,1_20_250000_0.000001,,,,92148220.0,ns,114
himmelblau,1_20_250000_0.000001,,,,94720939.0,ns,116
himmelblau,1_20_250000_0.000001,,,,97265110.0,ns,118
himmelblau,1_20_250000_0.000001,,,,97507987.0,ns,120
himmelblau,1_20_250000_0.000001,,,,99111373.0,ns,122
himmelblau,1_20_250000_0.000001,,,,95795446.0,ns,124
himmelblau,1_20_250000_0.000001,,,,87723523.0,ns,126
himmelblau,1_20_250000_0.000001,,,,24664311.0,ns,128
himmelblau,1_20_250000_0.000001,,,,15492100.0,ns,130
himmelblau,1_20_250000_0.000001,,,,14924645.0,ns,132
himmelblau,1_20_250000_0.000001,,,,14837939.0,ns,134
himmelblau,1_20_250000_0.000001,,,,16514658.0,ns,136
himmelblau,1_20_250000_0.000001,,,,15911713.0,ns,138
himmelblau,1_20_250000_0.000001,,,,15345790.0,ns,140
himmelblau,1_20_250000_0.000001,,,,16384873.0,ns,142
himmelblau,1_20_250000_0.000001,,,,16608684.0,ns,144
himmelblau,1_20_250000_0.000001,,,,16980925.0,ns,146
himmelblau,1_20_250000_0.000001,,,,16846850.0,ns,148
himmelblau,1_20_250000_0.000001,,,,18269804.0,ns,150
himmelblau,1_20_250000_0.000001,,,,17390753.0,ns,152
himmelblau,1_20_250000_0.000001,,,,20253637.0,ns,154
himmelblau,1_20_250000_0.000001,,,,30419045.0,ns,156
himmelblau,1_20_250000_0.000001,,,,99079052.0,ns,158
himmelblau,1_20_250000_0.000001,,,,128306987.0,ns,160
himmelblau,1_20_250000_0.000001,,,,129510863.0,ns,162
himmelblau,1_20_250000_0.000001,,,,81417252.0,ns,164
himmelblau,1_20_250000_0.000001,,,,28279888.0,ns,166
himmelblau,1_20_250000_0.000001,,,,44585367.0,ns,168
himmelblau,1_20_250000_0.000001,,,,133206012.0,ns,170
himmelblau,1_20_250000_0.000001,,,,136796470.0,ns,172
himmelblau,1_20_250000_0.000001,,,,141794988.0,ns,174
himmelblau,1_20_250000_0.000001,,,,139398022.0,ns,176
himmelblau,1_20_250000_0.000001,,,,143396611.0,ns,178
himmelblau,1_20_250000_0.000001,,,,109998274.0,ns,180
himmelblau,1_20_250000_0.000001,,,,27569888.0,ns,182
himmelblau,1_20_250000_0.000001,,,,25128596.0,ns,184
himmelblau,1_20_250000_0.000001,,,,33794802.0,ns,186
himmelblau,1_20_250000_0.000001,,,,121760216.0,ns,188
himmelblau,1_20_250000_0.000001,,,,151891876.0,ns,190
himmelblau,1_20_250000_0.000001,,,,150197972.0,ns,192
himmelblau,1_20_250000_0.000001,,,,156641100.0,ns,194
himmelblau,1_20_250000_0.000001,,,,160043434.0,ns,196
himmelblau,1_20_250000_0.000001,,,,158980051.0,ns,198
himmelblau,1_20_250000_0.000001,,,,161550275.0,ns,200
