group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
himmelblau,20_20_250000_0.000001,,,,1324330.0,ns,3
himmelblau,20_20_250000_0.000001,,,,2439940.0,ns,6
himmelblau,20_20_250000_0.000001,,,,3627899.0,ns,9
himmelblau,20_20_250000_0.000001,,,,5171089.0,ns,12
himmelblau,20_20_250000_0.000001,,,,6560870.0,ns,15
himmelblau,20_20_250000_0.000001,,,,7581040.0,ns,18
himmelblau,20_20_250000_0.000001,,,,8811486.0,ns,21
himmelblau,20_20_250000_0.000001,,,,10087976.0,ns,24
himmelblau,20_20_250000_0.000001,,,,11683959.0,ns,27
himmelblau,20_20_250000_0.000001,,,,12974913.0,ns,30
himmelblau,20_20_250000_0.000001,,,,14030010.0,ns,33
himmelblau,20_20_250000_0.000001,,,,14880317.0,ns,36
himmelblau,20_20_250000_0.000001,,,,17044961.0,ns,39
himmelblau,20_20_250000_0.000001,,,,21337832.0,ns,42
himmelblau,20_20_250000_0.000001,,,,19128696.0,ns,45
himmelblau,20_20_250000_0.000001,,,,20593314.0,ns,48
himmelblau,20_20_250000_0.000001,,,,21239868.0,ns,51
himmelblau,20_20_250000_0.000001,,,,22508484.0,ns,54
himmelblau,20_20_250000_0.000001,,,,24438413.0,ns,57
himmelblau,20_20_250000_0.000001,,,,26088178.0,ns,60
himmelblau,20_20_250000_0.000001,,,,26256510.0,ns,63
himmelblau,20_20_250000_0.000001,,,,27739672.0,ns,66
himmelblau,20_20_250000_0.000001,,,,29006157.0,ns,69
himmelblau,20_20_250000_0.000001,,,,30598430.0,ns,72
himmelblau,20_20_250000_0.000001,,,,31931068.0,ns,75
himmelblau,20_20_250000_0.000001,,,,33112553.0,ns,78
himmelblau,20_20_250000_0.000001,,,,34334083.0,ns,81
himmelblau,20_20_250000_0.000001,,,,35372761.0,ns,84
himmelblau,20_20_250000_0.000001,,,,37246236.0,ns,87
himmelblau,20_20_250000_0.000001,,,,38328033.0,ns,90
himmelblau,20_20_250000_0.000001,,,,39701758.0,ns,93
himmelblau,20_20_250000_0.000001,,,,40092876.0,ns,96
himmelblau,20_20_250000_0.000001,,,,41865883.0,ns,99
himmelblau,20_20_250000_0.000001,,,,42880621.0,ns,102
himmelblau,20_20_250000_0.000001,,,,44132391.0,ns,105
himmelblau,20_20_250000_0.000001,,,,45414245.0,ns,108
himmelblau,20_20_250000_0.000001,,,,46448151.0,ns,111
himmelblau,20_20_250000_0.000001,,,,47797606.0,ns,114
himmelblau,20_20_250000_0.000001,,,,49211043.0,ns,117
himmelblau,20_20_250000_0.000001,,,,50402552.0,ns,120
himmelblau,20_20_250000_0.000001,,,,53132560.0,ns,123
himmelblau,20_20_250000_0.000001,,,,54257942.0,ns,126
himmelblau,20_20_250000_0.000001,,,,54256286.0,ns,129
himmelblau,20_20_250000_0.000001,,,,55467759.0,ns,132
himmelblau,20_20_250000_0.000001,,,,57553194.0,ns,135
himmelblau,20_20_250000_0.000001,,,,58696033.0,ns,138
himmelblau,20_20_250000_0.000001,,,,59491569.0,ns,141
himmelblau,20_20_250000_0.000001,,,,61605124.0,ns,144
himmelblau,20_20_250000_0.000001,,,,61814033.0,ns,147
himmelblau,20_20_250000_0.000001,,,,63831742.0,ns,150
himmelblau,20_20_250000_0.000001,,,,64432963.0,ns,153
himmelblau,20_20_250000_0.000001,,,,66977060.0,ns,156
himmelblau,20_20_250000_0.000001,,,,67680469.0,ns,159
himmelblau,20_20_250000_0.000001,,,,68275288.0,ns,162
himmelblau,20_20_250000_0.000001,,,,69891502.0,ns,165
himmelblau,20_20_250000_0.000001,,,,71853058.0,ns,168
himmelblau,20_20_250000_0.000001,,,,71919620.0,ns,171
himmelblau,20_20_250000_0.000001,,,,72216108.0,ns,174
himmelblau,20_20_250000_0.000001,,,,74707927.0,ns,177
himmelblau,20_20_250000_0.000001,,,,75794093.0,ns,180
himmelblau,20_20_250000_0.000001,,,,77096320.0,ns,183
himmelblau,20_20_250000_0.000001,,,,79735161.0,ns,186
himmelblau,20_20_250000_0.000001,,,,79179420.0,ns,189
himmelblau,20_20_250000_0.000001,,,,83208005.0,ns,192
himmelblau,20_20_250000_0.000001,,,,81920962.0,ns,195
himmelblau,20_20_250000_0.000001,,,,83792714.0,ns,198
himmelblau,20_20_250000_0.000001,,,,85250566.0,ns,201
himmelblau,20_20_250000_0.000001,,,,85907325.0,ns,204
himmelblau,20_20_250000_0.000001,,,,87356525.0,ns,207
himmelblau,20_20_250000_0.000001,,,,88863545.0,ns,210
himmelblau,20_20_250000_0.000001,,,,89986633.0,ns,213
himmelblau,20_20_250000_0.000001,,,,91071641.0,ns,216
himmelblau,20_20_250000_0.000001,,,,92021995.0,ns,219
himmelblau,20_20_250000_0.000001,,,,94766714.0,ns,222
himmelblau,20_20_250000_0.000001,,,,94946422.0,ns,225
himmelblau,20_20_250000_0.000001,,,,96587104.0,ns,228
himmelblau,20_20_250000_0.000001,,,,97153224.0,ns,231
himmelblau,20_20_250000_0.000001,,,,98778363.0,ns,234
himmelblau,20_20_250000_0.000001,,,,100450404.0,ns,237
himmelblau,20_20_250000_0.000001,,,,102721109.0,ns,240
himmelblau,20_20_250000_0.000001,,,,105243572.0,ns,243
himmelblau,20_20_250000_0.000001,,,,103065790.0,ns,246
himmelblau,20_20_250000_0.000001,,,,105348892.0,ns,249
himmelblau,20_20_250000_0.000001,,,,105956954.0,ns,252
himmelblau,20_20_250000_0.000001,,,,106924609.0,ns,255
himmelblau,20_20_250000_0.000001,,,,109835877.0,ns,258
himmelblau,20_20_250000_0.000001,,,,110440851.0,ns,261
himmelblau,20_20_250000_0.000001,,,,111129492.0,ns,264
himmelblau,20_20_250000_0.000001,,,,112318583.0,ns,267
himmelblau,20_20_250000_0.000001,,,,114527276.0,ns,270
himmelblau,20_20_250000_0.000001,,,,116561428.0,ns,273
himmelblau,20_20_250000_0.000001,,,,117823353.0,ns,276
himmelblau,20_20_250000_0.000001,,,,117941442.0,ns,279
himmelblau,20_20_250000_0.000001,,,,118606236.0,ns,282
himmelblau,20_20_250000_0.000001,,,,125430946.0,ns,285
himmelblau,20_20_250000_0.000001,,,,120099969.0,ns,288
himmelblau,20_20_250000_0.000001,,,,122247818.0,ns,291
himmelblau,20_20_250000_0.000001,,,,123598453.0,ns,294
