group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
levi,1_20_250000_0.001,,,,867106.0,ns,2
levi,1_20_250000_0.001,,,,2669887.0,ns,4
levi,1_20_250000_0.001,,,,3496194.0,ns,6
levi,1_20_250000_0.001,,,,4491371.0,ns,8
levi,1_20_250000_0.001,,,,5432042.0,ns,10
levi,1_20_250000_0.001,,,,6012980.0,ns,12
levi,1_20_250000_0.001,,,,7466802.0,ns,14
levi,1_20_250000_0.001,,,,8289796.0,ns,16
levi,1_20_250000_0.001,,,,10994650.0,ns,18
levi,1_20_250000_0.001,,,,11286468.0,ns,20
levi,1_20_250000_0.001,,,,13183129.0,ns,22
levi,1_20_250000_0.001,,,,17758551.0,ns,24
levi,1_20_250000_0.001,,,,43319240.0,ns,26
levi,1_20_250000_0.001,,,,45969775.0,ns,28
levi,1_20_250000_0.001,,,,54860657.0,ns,30
levi,1_20_250000_0.001,,,,66115671.0,ns,32
levi,1_20_250000_0.001,,,,80449004.0,ns,34
levi,1_20_250000_0.001,,,,83272154.0,ns,36
levi,1_20_250000_0.001,,,,74125766.0,ns,38
levi,1_20_250000_0.001,,,,92710000.0,ns,40
levi,1_20_250000_0.001,,,,108907064.0,ns,42
levi,1_20_250000_0.001,,,,101605822.0,ns,44
levi,1_20_250000_0.001,,,,108276519.0,ns,46
levi,1_20_250000_0.001,,,,113179658.0,ns,48
levi,1_20_250000_0.001,,,,113807457.0,ns,50
levi,1_20_250000_0.001,,,,120112112.0,ns,52
levi,1_20_250000_0.001,,,,62721665.0,ns,54
levi,1_20_250000_0.001,,,,41317389.0,ns,56
levi,1_20_250000_0.001,,,,93979754.0,ns,58
levi,1_20_250000_0.001,,,,31788392.0,ns,60
levi,1_20_250000_0.001,,,,27660174.0,ns,62
levi,1_20_250000_0.001,,,,31190851.0,ns,64
levi,1_20_250000_0.001,,,,99251387.0,ns,66
levi,1_20_250000_0.001,,,,157456214.0,ns,68
levi,1_20_250000_0.001,,,,165651970.0,ns,70
levi,1_20_250000_0.001,,,,169636373.0,ns,72
levi,1_20_250000_0.001,,,,185517196.0,ns,74
levi,1_20_250000_0.001,,,,176558296.0,ns,76
levi,1_20_250000_0.001,,,,186559368.0,ns,78
levi,1_20_250000_0.001,,,,198542034.0,ns,80
levi,1_20_250000_0.001,,,,148943080.0,ns,82
levi,1_20_250000_0.001,,,,40134930.0,ns,84
levi,1_20_250000_0.001,,,,43063306.0,ns,86
levi,1_20_250000_0.001,,,,143090210.0,ns,88
levi,1_20_250000_0.001,,,,196511982.0,ns,90
levi,1_20_250000_0.001,,,,199448286.0,ns,92
levi,1_20_250000_0.001,,,,89049089.0,ns,94
levi,1_20_250000_0.001,,,,226343146.0,ns,96
levi,1_20_250000_0.001,,,,239843343.0,ns,98
levi,1_20_250000_0.001,,,,227320129.0,ns,100
levi,1_20_250000_0.001,,,,175379191.0,ns,102
levi,1_20_250000_0.001,,,,45297315.0,ns,104
levi,1_20_250000_0.001,,,,83950050.0,ns,106
levi,1_20_250000_0.001,,,,249798959.0,ns,108
levi,1_20_250000_0.001,,,,258643974.0,ns,110
levi,1_20_250000_0.001,,,,259524860.0,ns,112
levi,1_20_250000_0.001,,,,261800028.0,ns,114
levi,1_20_250000_0.001,,,,280580002.0,ns,116
levi,1_20_250000_0.001,,,,148688997.0,ns,118
levi,1_20_250000_0.001,,,,50584771.0,ns,120
levi,1_20_250000_0.001,,,,75978820.0,ns,122
levi,1_20_250000_0.001,,,,265428652.0,ns,124
levi,1_20_250000_0.001,,,,297187376.0,ns,126
levi,1_20_250000_0.001,,,,317463792.0,ns,128
levi,1_20_250000_0.001,,,,305614630.0,ns,130
levi,1_20_250000_0.001,,,,247412844.0,ns,132
levi,1_20_250000_0.001,,,,60721906.0,ns,134
levi,1_20_250000_0.001,,,,191410279.0,ns,136
levi,1_20_250000_0.001,,,,313746523.0,ns,138
