group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
levi,20_50_10000_0.000000001,,,,51357004.0,ns,17
levi,20_50_10000_0.000000001,,,,53886500.0,ns,17
levi,20_50_10000_0.000000001,,,,51363718.0,ns,17
levi,20_50_10000_0.000000001,,,,52494329.0,ns,17
levi,20_50_10000_0.000000001,,,,52260386.0,ns,17
levi,20_50_10000_0.000000001,,,,50047806.0,ns,17
levi,20_50_10000_0.000000001,,,,49893107.0,ns,17
levi,20_50_10000_0.000000001,,,,49801426.0,ns,17
levi,20_50_10000_0.000000001,,,,56826559.0,ns,17
levi,20_50_10000_0.000000001,,,,51891518.0,ns,17
levi,20_50_10000_0.000000001,,,,51384887.0,ns,17
levi,20_50_10000_0.000000001,,,,49820193.0,ns,17
levi,20_50_10000_0.000000001,,,,51554765.0,ns,17
levi,20_50_10000_0.000000001,,,,52034112.0,ns,17
levi,20_50_10000_0.000000001,,,,50473015.0,ns,17
levi,20_50_10000_0.000000001,,,,50025637.0,ns,17
levi,20_50_10000_0.000000001,,,,50336518.0,ns,17
levi,20_50_10000_0.000000001,,,,48889016.0,ns,17
levi,20_50_10000_0.000000001,,,,48270078.0,ns,17
levi,20_50_10000_0.000000001,,,,49131043.0,ns,17
levi,20_50_10000_0.000000001,,,,47983639.0,ns,17
levi,20_50_10000_0.000000001,,,,51843906.0,ns,17
levi,20_50_10000_0.000000001,,,,46442786.0,ns,17
levi,20_50_10000_0.000000001,,,,52779401.0,ns,17
levi,20_50_10000_0.000000001,,,,50014345.0,ns,17
levi,20_50_10000_0.000000001,,,,48560328.0,ns,17
levi,20_50_10000_0.000000001,,,,51902915.0,ns,17
levi,20_50_10000_0.000000001,,,,52463312.0,ns,17
levi,20_50_10000_0.000000001,,,,53201679.0,ns,17
levi,20_50_10000_0.000000001,,,,51307467.0,ns,17
levi,20_50_10000_0.000000001,,,,52640466.0,ns,17
levi,20_50_10000_0.000000001,,,,51909462.0,ns,17
levi,20_50_10000_0.000000001,,,,47330614.0,ns,17
levi,20_50_10000_0.000000001,,,,52883421.0,ns,17
levi,20_50_10000_0.000000001,,,,52603506.0,ns,17
levi,20_50_10000_0.000000001,,,,51401423.0,ns,17
levi,20_50_10000_0.000000001,,,,49431252.0,ns,17
levi,20_50_10000_0.000000001,,,,50521945.0,ns,17
levi,20_50_10000_0.000000001,,,,52576564.0,ns,17
levi,20_50_10000_0.000000001,,,,52874381.0,ns,17
levi,20_50_10000_0.000000001,,,,51201835.0,ns,17
levi,20_50_10000_0.000000001,,,,51922492.0,ns,17
levi,20_50_10000_0.000000001,,,,51413807.0,ns,17
levi,20_50_10000_0.000000001,,,,51451987.0,ns,17
levi,20_50_10000_0.000000001,,,,49097482.0,ns,17
levi,20_50_10000_0.000000001,,,,54870214.0,ns,17
levi,20_50_10000_0.000000001,,,,52133963.0,ns,17
levi,20_50_10000_0.000000001,,,,52987808.0,ns,17
levi,20_50_10000_0.000000001,,,,53880546.0,ns,17
levi,20_50_10000_0.000000001,,,,53884282.0,ns,17
levi,20_50_10000_0.000000001,,,,50360791.0,ns,17
levi,20_50_10000_0.000000001,,,,52122309.0,ns,17
levi,20_50_10000_0.000000001,,,,51452279.0,ns,17
levi,20_50_10000_0.000000001,,,,52768778.0,ns,17
levi,20_50_10000_0.000000001,,,,52204415.0,ns,17
levi,20_50_10000_0.000000001,,,,50683501.0,ns,17
levi,20_50_10000_0.000000001,,,,52209900.0,ns,17
levi,20_50_10000_0.000000001,,,,50929770.0,ns,17
levi,20_50_10000_0.000000001,,,,49843546.0,ns,17
levi,20_50_10000_0.000000001,,,,52196840.0,ns,17
levi,20_50_10000_0.000000001,,,,53225895.0,ns,17
levi,20_50_10000_0.000000001,,,,50502740.0,ns,17
levi,20_50_10000_0.000000001,,,,53028644.0,ns,17
levi,20_50_10000_0.000000001,,,,52277268.0,ns,17
levi,20_50_10000_0.000000001,,,,48070942.0,ns,17
levi,20_50_10000_0.000000001,,,,52110487.0,ns,17
levi,20_50_10000_0.000000001,,,,51699129.0,ns,17
levi,20_50_10000_0.000000001,,,,50338921.0,ns,17
levi,20_50_10000_0.000000001,,,,52943217.0,ns,17
levi,20_50_10000_0.000000001,,,,51482839.0,ns,17
levi,20_50_10000_0.000000001,,,,48705488.0,ns,17
levi,20_50_10000_0.000000001,,,,52116389.0,ns,17
levi,20_50_10000_0.000000001,,,,53283379.0,ns,17
levi,20_50_10000_0.000000001,,,,51081431.0,ns,17
levi,20_50_10000_0.000000001,,,,50603418.0,ns,17
levi,20_50_10000_0.000000001,,,,53791891.0,ns,17
levi,20_50_10000_0.000000001,,,,50898936.0,ns,17
levi,20_50_10000_0.000000001,,,,53246642.0,ns,17
levi,20_50_10000_0.000000001,,,,53102624.0,ns,17
levi,20_50_10000_0.000000001,,,,52834575.0,ns,17
levi,20_50_10000_0.000000001,,,,51569527.0,ns,17
levi,20_50_10000_0.000000001,,,,49104674.0,ns,17
levi,20_50_10000_0.000000001,,,,50656833.0,ns,17
levi,20_50_10000_0.000000001,,,,51098922.0,ns,17
levi,20_50_10000_0.000000001,,,,55041264.0,ns,17
levi,20_50_10000_0.000000001,,,,48501799.0,ns,17
levi,20_50_10000_0.000000001,,,,50369935.0,ns,17
levi,20_50_10000_0.000000001,,,,52379074.0,ns,17
levi,20_50_10000_0.000000001,,,,55269683.0,ns,17
levi,20_50_10000_0.000000001,,,,50858561.0,ns,17
levi,20_50_10000_0.000000001,,,,47804634.0,ns,17
levi,20_50_10000_0.000000001,,,,51238534.0,ns,17
levi,20_50_10000_0.000000001,,,,51280383.0,ns,17
levi,20_50_10000_0.000000001,,,,49604521.0,ns,17
levi,20_50_10000_0.000000001,,,,52382807.0,ns,17
levi,20_50_10000_0.000000001,,,,48789755.0,ns,17
levi,20_50_10000_0.000000001,,,,49714457.0,ns,17
levi,20_50_10000_0.000000001,,,,52005820.0,ns,17
levi,20_50_10000_0.000000001,,,,50046377.0,ns,17
levi,20_50_10000_0.000000001,,,,50245946.0,ns,17
