group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parabolla,20_20_250000_0.000000001,,,,96234981.0,ns,1
parabolla,20_20_250000_0.000000001,,,,82806100.0,ns,1
parabolla,20_20_250000_0.000000001,,,,56189448.0,ns,1
parabolla,20_20_250000_0.000000001,,,,63677236.0,ns,1
parabolla,20_20_250000_0.000000001,,,,108218629.0,ns,1
parabolla,20_20_250000_0.000000001,,,,75549004.0,ns,1
parabolla,20_20_250000_0.000000001,,,,78772605.0,ns,1
parabolla,20_20_250000_0.000000001,,,,118210858.0,ns,1
parabolla,20_20_250000_0.000000001,,,,144336852.0,ns,1
parabolla,20_20_250000_0.000000001,,,,58685820.0,ns,1
parabolla,20_20_250000_0.000000001,,,,219449020.0,ns,1
parabolla,20_20_250000_0.000000001,,,,85412197.0,ns,1
parabolla,20_20_250000_0.000000001,,,,104085409.0,ns,1
parabolla,20_20_250000_0.000000001,,,,96968547.0,ns,1
parabolla,20_20_250000_0.000000001,,,,54764884.0,ns,1
parabolla,20_20_250000_0.000000001,,,,131690846.0,ns,1
parabolla,20_20_250000_0.000000001,,,,60441179.0,ns,1
parabolla,20_20_250000_0.000000001,,,,88791937.0,ns,1
parabolla,20_20_250000_0.000000001,,,,128676235.0,ns,1
parabolla,20_20_250000_0.000000001,,,,272810819.0,ns,1
parabolla,20_20_250000_0.000000001,,,,149465810.0,ns,1
parabolla,20_20_250000_0.000000001,,,,56386921.0,ns,1
parabolla,20_20_250000_0.000000001,,,,122883074.0,ns,1
parabolla,20_20_250000_0.000000001,,,,91747503.0,ns,1
parabolla,20_20_250000_0.000000001,,,,72249859.0,ns,1
parabolla,20_20_250000_0.000000001,,,,77677698.0,ns,1
parabolla,20_20_250000_0.000000001,,,,92053265.0,ns,1
parabolla,20_20_250000_0.000000001,,,,88894994.0,ns,1
parabolla,20_20_250000_0.000000001,,,,138695261.0,ns,1
parabolla,20_20_250000_0.000000001,,,,97966544.0,ns,1
parabolla,20_20_250000_0.000000001,,,,60053900.0,ns,1
parabolla,20_20_250000_0.000000001,,,,109268478.0,ns,1
parabolla,20_20_250000_0.000000001,,,,59508306.0,ns,1
parabolla,20_20_250000_0.000000001,,,,75235298.0,ns,1
parabolla,20_20_250000_0.000000001,,,,151229001.0,ns,1
parabolla,20_20_250000_0.000000001,,,,119212039.0,ns,1
parabolla,20_20_250000_0.000000001,,,,101080575.0,ns,1
parabolla,20_20_250000_0.000000001,,,,104465692.0,ns,1
parabolla,20_20_250000_0.000000001,,,,88348033.0,ns,1
parabolla,20_20_250000_0.000000001,,,,103420620.0,ns,1
parabolla,20_20_250000_0.000000001,,,,71246420.0,ns,1
parabolla,20_20_250000_0.000000001,,,,112298997.0,ns,1
parabolla,20_20_250000_0.000000001,,,,87303623.0,ns,1
parabolla,20_20_250000_0.000000001,,,,87653522.0,ns,1
parabolla,20_20_250000_0.000000001,,,,87655926.0,ns,1
parabolla,20_20_250000_0.000000001,,,,133944232.0,ns,1
parabolla,20_20_250000_0.000000001,,,,59459208.0,ns,1
parabolla,20_20_250000_0.000000001,,,,75647115.0,ns,1
parabolla,20_20_250000_0.000000001,,,,89666538.0,ns,1
parabolla,20_20_250000_0.000000001,,,,97176610.0,ns,1
parabolla,20_20_250000_0.000000001,,,,54535120.0,ns,1
parabolla,20_20_250000_0.000000001,,,,67690641.0,ns,1
parabolla,20_20_250000_0.000000001,,,,136232788.0,ns,1
parabolla,20_20_250000_0.000000001,,,,73679093.0,ns,1
parabolla,20_20_250000_0.000000001,,,,95812282.0,ns,1
parabolla,20_20_250000_0.000000001,,,,65126469.0,ns,1
parabolla,20_20_250000_0.000000001,,,,82816975.0,ns,1
parabolla,20_20_250000_0.000000001,,,,89707074.0,ns,1
parabolla,20_20_250000_0.000000001,,,,129170896.0,ns,1
parabolla,20_20_250000_0.000000001,,,,47581452.0,ns,1
parabolla,20_20_250000_0.000000001,,,,138431893.0,ns,1
parabolla,20_20_250000_0.000000001,,,,72894490.0,ns,1
parabolla,20_20_250000_0.000000001,,,,108508619.0,ns,1
parabolla,20_20_250000_0.000000001,,,,82966602.0,ns,1
parabolla,20_20_250000_0.000000001,,,,93909738.0,ns,1
parabolla,20_20_250000_0.000000001,,,,78422454.0,ns,1
parabolla,20_20_250000_0.000000001,,,,235104400.0,ns,1
parabolla,20_20_250000_0.000000001,,,,108200338.0,ns,1
parabolla,20_20_250000_0.000000001,,,,149054566.0,ns,1
parabolla,20_20_250000_0.000000001,,,,86539638.0,ns,1
parabolla,20_20_250000_0.000000001,,,,73326076.0,ns,1
parabolla,20_20_250000_0.000000001,,,,154134679.0,ns,1
parabolla,20_20_250000_0.000000001,,,,86344788.0,ns,1
parabolla,20_20_250000_0.000000001,,,,101511168.0,ns,1
parabolla,20_20_250000_0.000000001,,,,57279163.0,ns,1
parabolla,20_20_250000_0.000000001,,,,133805429.0,ns,1
parabolla,20_20_250000_0.000000001,,,,74413110.0,ns,1
parabolla,20_20_250000_0.000000001,,,,97554386.0,ns,1
parabolla,20_20_250000_0.000000001,,,,115597257.0,ns,1
parabolla,20_20_250000_0.000000001,,,,105880065.0,ns,1
parabolla,20_20_250000_0.000000001,,,,104981976.0,ns,1
parabolla,20_20_250000_0.000000001,,,,91200658.0,ns,1
parabolla,20_20_250000_0.000000001,,,,82456949.0,ns,1
parabolla,20_20_250000_0.000000001,,,,166877478.0,ns,1
parabolla,20_20_250000_0.000000001,,,,70468670.0,ns,1
parabolla,20_20_250000_0.000000001,,,,91584292.0,ns,1
parabolla,20_20_250000_0.000000001,,,,124074647.0,ns,1
parabolla,20_20_250000_0.000000001,,,,100236705.0,ns,1
parabolla,20_20_250000_0.000000001,,,,90471557.0,ns,1
parabolla,20_20_250000_0.000000001,,,,75654241.0,ns,1
parabolla,20_20_250000_0.000000001,,,,67680899.0,ns,1
parabolla,20_20_250000_0.000000001,,,,135682488.0,ns,1
parabolla,20_20_250000_0.000000001,,,,149016851.0,ns,1
parabolla,20_20_250000_0.000000001,,,,119821888.0,ns,1
parabolla,20_20_250000_0.000000001,,,,110593770.0,ns,1
parabolla,20_20_250000_0.000000001,,,,107096670.0,ns,1
parabolla,20_20_250000_0.000000001,,,,102776194.0,ns,1
parabolla,20_20_250000_0.000000001,,,,87634765.0,ns,1
parabolla,20_20_250000_0.000000001,,,,91601931.0,ns,1
parabolla,20_20_250000_0.000000001,,,,95085486.0,ns,1
