group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parabolla,20_50_250000_0.000000001,,,,154780666.0,ns,1
parabolla,20_50_250000_0.000000001,,,,125954568.0,ns,1
parabolla,20_50_250000_0.000000001,,,,259635830.0,ns,1
parabolla,20_50_250000_0.000000001,,,,162839068.0,ns,1
parabolla,20_50_250000_0.000000001,,,,231077199.0,ns,1
parabolla,20_50_250000_0.000000001,,,,194909996.0,ns,1
parabolla,20_50_250000_0.000000001,,,,121142124.0,ns,1
parabolla,20_50_250000_0.000000001,,,,328635616.0,ns,1
parabolla,20_50_250000_0.000000001,,,,136258258.0,ns,1
parabolla,20_50_250000_0.000000001,,,,144071385.0,ns,1
parabolla,20_50_250000_0.000000001,,,,112057654.0,ns,1
parabolla,20_50_250000_0.000000001,,,,130074697.0,ns,1
parabolla,20_50_250000_0.000000001,,,,298828516.0,ns,1
parabolla,20_50_250000_0.000000001,,,,157820233.0,ns,1
parabolla,20_50_250000_0.000000001,,,,146254761.0,ns,1
parabolla,20_50_250000_0.000000001,,,,217279970.0,ns,1
parabolla,20_50_250000_0.000000001,,,,219540852.0,ns,1
parabolla,20_50_250000_0.000000001,,,,220548556.0,ns,1
parabolla,20_50_250000_0.000000001,,,,120965666.0,ns,1
parabolla,20_50_250000_0.000000001,,,,186035660.0,ns,1
parabolla,20_50_250000_0.000000001,,,,143537274.0,ns,1
parabolla,20_50_250000_0.000000001,,,,147514813.0,ns,1
parabolla,20_50_250000_0.000000001,,,,175374959.0,ns,1
parabolla,20_50_250000_0.000000001,,,,213103658.0,ns,1
parabolla,20_50_250000_0.000000001,,,,277804143.0,ns,1
parabolla,20_50_250000_0.000000001,,,,159052319.0,ns,1
parabolla,20_50_250000_0.000000001,,,,156726922.0,ns,1
parabolla,20_50_250000_0.000000001,,,,169980928.0,ns,1
parabolla,20_50_250000_0.000000001,,,,192967200.0,ns,1
parabolla,20_50_250000_0.000000001,,,,157253968.0,ns,1
parabolla,20_50_250000_0.000000001,,,,191103679.0,ns,1
parabolla,20_50_250000_0.000000001,,,,163779873.0,ns,1
parabolla,20_50_250000_0.000000001,,,,221289528.0,ns,1
parabolla,20_50_250000_0.000000001,,,,239763635.0,ns,1
parabolla,20_50_250000_0.000000001,,,,159722262.0,ns,1
parabolla,20_50_250000_0.000000001,,,,189114997.0,ns,1
parabolla,20_50_250000_0.000000001,,,,144879823.0,ns,1
parabolla,20_50_250000_0.000000001,,,,243149940.0,ns,1
parabolla,20_50_250000_0.000000001,,,,162383591.0,ns,1
parabolla,20_50_250000_0.000000001,,,,150840610.0,ns,1
parabolla,20_50_250000_0.000000001,,,,122044547.0,ns,1
parabolla,20_50_250000_0.000000001,,,,123028064.0,ns,1
parabolla,20_50_250000_0.000000001,,,,146392888.0,ns,1
parabolla,20_50_250000_0.000000001,,,,108230537.0,ns,1
parabolla,20_50_250000_0.000000001,,,,179464803.0,ns,1
parabolla,20_50_250000_0.000000001,,,,143121627.0,ns,1
parabolla,20_50_250000_0.000000001,,,,112348551.0,ns,1
parabolla,20_50_250000_0.000000001,,,,187500547.0,ns,1
parabolla,20_50_250000_0.000000001,,,,175439724.0,ns,1
parabolla,20_50_250000_0.000000001,,,,170000869.0,ns,1
parabolla,20_50_250000_0.000000001,,,,141068139.0,ns,1
parabolla,20_50_250000_0.000000001,,,,115065678.0,ns,1
parabolla,20_50_250000_0.000000001,,,,393307341.0,ns,1
parabolla,20_50_250000_0.000000001,,,,180188166.0,ns,1
parabolla,20_50_250000_0.000000001,,,,154701058.0,ns,1
parabolla,20_50_250000_0.000000001,,,,131786978.0,ns,1
parabolla,20_50_250000_0.000000001,,,,175742234.0,ns,1
parabolla,20_50_250000_0.000000001,,,,245693892.0,ns,1
parabolla,20_50_250000_0.000000001,,,,192454058.0,ns,1
parabolla,20_50_250000_0.000000001,,,,192286072.0,ns,1
parabolla,20_50_250000_0.000000001,,,,207356885.0,ns,1
parabolla,20_50_250000_0.000000001,,,,122189420.0,ns,1
parabolla,20_50_250000_0.000000001,,,,251832092.0,ns,1
parabolla,20_50_250000_0.000000001,,,,197091364.0,ns,1
parabolla,20_50_250000_0.000000001,,,,140593510.0,ns,1
parabolla,20_50_250000_0.000000001,,,,434190220.0,ns,1
parabolla,20_50_250000_0.000000001,,,,184521365.0,ns,1
parabolla,20_50_250000_0.000000001,,,,187568208.0,ns,1
parabolla,20_50_250000_0.000000001,,,,198329281.0,ns,1
parabolla,20_50_250000_0.000000001,,,,200032540.0,ns,1
parabolla,20_50_250000_0.000000001,,,,165246003.0,ns,1
parabolla,20_50_250000_0.000000001,,,,159311249.0,ns,1
parabolla,20_50_250000_0.000000001,,,,245573310.0,ns,1
parabolla,20_50_250000_0.000000001,,,,123921237.0,ns,1
parabolla,20_50_250000_0.000000001,,,,178429844.0,ns,1
parabolla,20_50_250000_0.000000001,,,,264447018.0,ns,1
parabolla,20_50_250000_0.000000001,,,,230583438.0,ns,1
parabolla,20_50_250000_0.000000001,,,,243076584.0,ns,1
parabolla,20_50_250000_0.000000001,,,,126000738.0,ns,1
parabolla,20_50_250000_0.000000001,,,,212190486.0,ns,1
parabolla,20_50_250000_0.000000001,,,,123653522.0,ns,1
parabolla,20_50_250000_0.000000001,,,,122098753.0,ns,1
parabolla,20_50_250000_0.000000001,,,,175063048.0,ns,1
parabolla,20_50_250000_0.000000001,,,,263257051.0,ns,1
parabolla,20_50_250000_0.000000001,,,,285654193.0,ns,1
parabolla,20_50_250000_0.000000001,,,,184225355.0,ns,1
parabolla,20_50_250000_0.000000001,,,,184776843.0,ns,1
parabolla,20_50_250000_0.000000001,,,,215487587.0,ns,1
parabolla,20_50_250000_0.000000001,,,,126832086.0,ns,1
parabolla,20_50_250000_0.000000001,,,,159558726.0,ns,1
parabolla,20_50_250000_0.000000001,,,,109166451.0,ns,1
parabolla,20_50_250000_0.000000001,,,,110170748.0,ns,1
parabolla,20_50_250000_0.000000001,,,,150446649.0,ns,1
parabolla,20_50_250000_0.000000001,,,,118777636.0,ns,1
parabolla,20_50_250000_0.000000001,,,,210680920.0,ns,1
parabolla,20_50_250000_0.000000001,,,,234809152.0,ns,1
parabolla,20_50_250000_0.000000001,,,,169744979.0,ns,1
parabolla,20_50_250000_0.000000001,,,,226196679.0,ns,1
parabolla,20_50_250000_0.000000001,,,,146043934.0,ns,1
parabolla,20_50_250000_0.000000001,,,,255174522.0,ns,1
