group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rastrigin,1_20_10000_0.000001,,,,35408022.0,ns,21
rastrigin,1_20_10000_0.000001,,,,70207878.0,ns,21
rastrigin,1_20_10000_0.000001,,,,154197698.0,ns,21
rastrigin,1_20_10000_0.000001,,,,20599736.0,ns,21
rastrigin,1_20_10000_0.000001,,,,52880071.0,ns,21
rastrigin,1_20_10000_0.000001,,,,67640356.0,ns,21
rastrigin,1_20_10000_0.000001,,,,104874006.0,ns,21
rastrigin,1_20_10000_0.000001,,,,43832923.0,ns,21
rastrigin,1_20_10000_0.000001,,,,214385209.0,ns,21
rastrigin,1_20_10000_0.000001,,,,87087851.0,ns,21
rastrigin,1_20_10000_0.000001,,,,83996904.0,ns,21
rastrigin,1_20_10000_0.000001,,,,179003305.0,ns,21
rastrigin,1_20_10000_0.000001,,,,50330010.0,ns,21
rastrigin,1_20_10000_0.000001,,,,25136554.0,ns,21
rastrigin,1_20_10000_0.000001,,,,47257409.0,ns,21
rastrigin,1_20_10000_0.000001,,,,129574465.0,ns,21
rastrigin,1_20_10000_0.000001,,,,85947084.0,ns,21
rastrigin,1_20_10000_0.000001,,,,48185388.0,ns,21
rastrigin,1_20_10000_0.000001,,,,48488200.0,ns,21
rastrigin,1_20_10000_0.000001,,,,133477574.0,ns,21
rastrigin,1_20_10000_0.000001,,,,183284665.0,ns,21
rastrigin,1_20_10000_0.000001,,,,51719344.0,ns,21
rastrigin,1_20_10000_0.000001,,,,90835668.0,ns,21
rastrigin,1_20_10000_0.000001,,,,38699027.0,ns,21
rastrigin,1_20_10000_0.000001,,,,162966064.0,ns,21
rastrigin,1_20_10000_0.000001,,,,79740249.0,ns,21
rastrigin,1_20_10000_0.000001,,,,40108201.0,ns,21
rastrigin,1_20_10000_0.000001,,,,79198916.0,ns,21
rastrigin,1_20_10000_0.000001,,,,118524597.0,ns,21
rastrigin,1_20_10000_0.000001,,,,126412693.0,ns,21
rastrigin,1_20_10000_0.000001,,,,47880784.0,ns,21
rastrigin,1_20_10000_0.000001,,,,66708405.0,ns,21
rastrigin,1_20_10000_0.000001,,,,158759835.0,ns,21
rastrigin,1_20_10000_0.000001,,,,95125192.0,ns,21
rastrigin,1_20_10000_0.000001,,,,94242947.0,ns,21
rastrigin,1_20_10000_0.000001,,,,65637135.0,ns,21
rastrigin,1_20_10000_0.000001,,,,190406136.0,ns,21
