group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rastrigin,1_50_250000_0.001,,,,60060376.0,ns,17
rastrigin,1_50_250000_0.001,,,,96468413.0,ns,17
rastrigin,1_50_250000_0.001,,,,91594416.0,ns,17
rastrigin,1_50_250000_0.001,,,,60899433.0,ns,17
rastrigin,1_50_250000_0.001,,,,111058839.0,ns,17
rastrigin,1_50_250000_0.001,,,,94636198.0,ns,17
rastrigin,1_50_250000_0.001,,,,25349767.0,ns,17
rastrigin,1_50_250000_0.001,,,,46095515.0,ns,17
rastrigin,1_50_250000_0.001,,,,99569643.0,ns,17
rastrigin,1_50_250000_0.001,,,,112154171.0,ns,17
rastrigin,1_50_250000_0.001,,,,159169348.0,ns,17
rastrigin,1_50_250000_0.001,,,,159254814.0,ns,17
rastrigin,1_50_250000_0.001,,,,41554905.0,ns,17
rastrigin,1_50_250000_0.001,,,,33574810.0,ns,17
rastrigin,1_50_250000_0.001,,,,45139541.0,ns,17
rastrigin,1_50_250000_0.001,,,,43914636.0,ns,17
rastrigin,1_50_250000_0.001,,,,32982528.0,ns,17
rastrigin,1_50_250000_0.001,,,,49479973.0,ns,17
rastrigin,1_50_250000_0.001,,,,87317320.0,ns,17
rastrigin,1_50_250000_0.001,,,,28006205.0,ns,17
rastrigin,1_50_250000_0.001,,,,96370372.0,ns,17
rastrigin,1_50_250000_0.001,,,,25260975.0,ns,17
rastrigin,1_50_250000_0.001,,,,68270756.0,ns,17
rastrigin,1_50_250000_0.001,,,,179296932.0,ns,17
rastrigin,1_50_250000_0.001,,,,148161193.0,ns,17
rastrigin,1_50_250000_0.001,,,,181204919.0,ns,17
rastrigin,1_50_250000_0.001,,,,148386035.0,ns,17
rastrigin,1_50_250000_0.001,,,,59592044.0,ns,17
rastrigin,1_50_250000_0.001,,,,172442777.0,ns,17
rastrigin,1_50_250000_0.001,,,,108749107.0,ns,17
rastrigin,1_50_250000_0.001,,,,151494648.0,ns,17
rastrigin,1_50_250000_0.001,,,,30717873.0,ns,17
rastrigin,1_50_250000_0.001,,,,31669404.0,ns,17
rastrigin,1_50_250000_0.001,,,,90038241.0,ns,17
