group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rosenbrock,20_20_10000_0.000001,,,,66371898.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63950742.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63121436.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65818374.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,61607563.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,73073573.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,62754657.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,61450764.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65705161.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,60284631.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66805168.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65034996.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66328351.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,59118347.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,61304235.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66509517.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63989204.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65053914.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65988719.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,59974312.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,68548696.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66276286.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64111068.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65225021.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66216320.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63689409.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,62144429.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63149606.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,68511785.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,59122152.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64919791.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,67776008.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64995924.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,61790902.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,67768965.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64834166.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64281926.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,67586062.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,60848524.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,59037419.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64632144.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63735623.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63409720.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,68711530.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65480362.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64029312.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,60590489.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,57900921.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,67865635.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63179560.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,62186363.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,58906902.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,58323038.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64506561.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64460572.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,70697445.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,68160742.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,68220037.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63920088.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,67203454.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65685798.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,60700773.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65120075.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,61674013.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,59211051.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65543232.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,70326670.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66774294.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,60646456.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,67430052.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64134075.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66482173.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,57137987.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65737863.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,68509332.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,62559044.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,72928606.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,60579617.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,61964198.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,62462599.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,59238983.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64431441.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,60103232.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,61549662.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66451078.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66375783.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,66957339.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,62604309.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,65518868.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63527646.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,64188012.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,59995580.0,ns,2
rosenbrock,20_20_10000_0.000001,,,,63082551.0,ns,2
