group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
rosenbrock,20_50_250000_0.000001,,,,1374592491.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1670759971.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1149527894.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1149404386.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1248215028.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1417564535.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1255295918.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1388525058.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1494877148.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1343144390.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1491072186.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1336066859.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1346356820.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1546578139.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1658513995.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1579329474.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1297495175.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1142775536.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1728367095.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1451141938.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1550319712.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1345102694.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1338705210.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1388977835.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1601755144.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1460111665.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1261471273.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1451684755.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1906626456.0,ns,1
rosenbrock,20_50_250000_0.000001,,,,1170726241.0,ns,1
