group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schaffer2,1_50_10000_0.000001,,,,87245784.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87227930.0,ns,2
schaffer2,1_50_10000_0.000001,,,,90696777.0,ns,2
schaffer2,1_50_10000_0.000001,,,,90814356.0,ns,2
schaffer2,1_50_10000_0.000001,,,,90270901.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87114836.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87131458.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87265369.0,ns,2
schaffer2,1_50_10000_0.000001,,,,88997999.0,ns,2
schaffer2,1_50_10000_0.000001,,,,88648921.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87385797.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87032486.0,ns,2
schaffer2,1_50_10000_0.000001,,,,90285520.0,ns,2
schaffer2,1_50_10000_0.000001,,,,91193890.0,ns,2
schaffer2,1_50_10000_0.000001,,,,90530181.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87998806.0,ns,2
schaffer2,1_50_10000_0.000001,,,,88737028.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87000143.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87123322.0,ns,2
schaffer2,1_50_10000_0.000001,,,,88452963.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87204803.0,ns,2
schaffer2,1_50_10000_0.000001,,,,88543376.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86864660.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87169020.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87035285.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87477415.0,ns,2
schaffer2,1_50_10000_0.000001,,,,91187102.0,ns,2
schaffer2,1_50_10000_0.000001,,,,88631892.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87166829.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86990571.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87410651.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87278892.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87802186.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87794999.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86696456.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87190692.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86894424.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86931417.0,ns,2
schaffer2,1_50_10000_0.000001,,,,96553978.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87757360.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87152148.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86834560.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87195046.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86967902.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86764424.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87151279.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87256393.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86968762.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86939249.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86931689.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87617716.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87228157.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87517126.0,ns,2
schaffer2,1_50_10000_0.000001,,,,90047840.0,ns,2
schaffer2,1_50_10000_0.000001,,,,89925101.0,ns,2
schaffer2,1_50_10000_0.000001,,,,87539636.0,ns,2
schaffer2,1_50_10000_0.000001,,,,88399623.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86834821.0,ns,2
schaffer2,1_50_10000_0.000001,,,,86999031.0,ns,2
