group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schaffer2,20_20_10000_0.000000001,,,,87509841.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,87518793.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,85093160.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,86510648.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,90012664.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,87205569.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,85851692.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,83610482.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,87988108.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,87927237.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,88650690.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,84170976.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,83839963.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,87032184.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,84475433.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,84508759.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,95069206.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,84230462.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,95175111.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,85407608.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,88315341.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,91671222.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,87382051.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,89003549.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,84686505.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,87816335.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,84265266.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,85141834.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,88791653.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,84089525.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,84470384.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,85472616.0,ns,2
schaffer2,20_20_10000_0.000000001,,,,87210837.0,ns,2
